Wiktor Janiszewski	Indykpol AZS Olsztyn	przyjmuj¹cy	13.0	14.0	31.0	2.0	5.0	0.15	79.0	11.0	18.0	13.0	16.46	33.0	1.0	3.0	10.0	30.3	2.0	0.15
Karol Jankiewicz	Indykpol AZS Olsztyn	rozgrywaj¹cy	21.0	6.0	51.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	2.0	50.0	4.0	0.19
Marcin Janusz	Grupa Azoty ZAKSA Kêdzierzyn-KoŸle	rozgrywaj¹cy	88.0	50.0	313.0	15.0	26.0	0.17	4.0	1.0	2.0	0.0	0.0	8.0	0.0	1.0	4.0	50.0	31.0	0.35
Jakub Jarosz	GKS Katowice	atakuj¹cy	91.0	401.0	293.0	30.0	77.0	0.33	5.0	1.0	3.0	0.0	0.0	714.0	45.0	92.0	352.0	49.3	19.0	0.21
Mateusz JóŸwik	LUK  Lublin	przyjmuj¹cy	29.0	31.0	43.0	3.0	12.0	0.1	97.0	7.0	31.0	17.0	17.53	66.0	3.0	10.0	23.0	34.85	5.0	0.17
£ukasz Kaczmarek	Grupa Azoty ZAKSA Kêdzierzyn-KoŸle	atakuj¹cy	83.0	394.0	356.0	24.0	53.0	0.29	28.0	1.0	7.0	5.0	17.86	636.0	37.0	52.0	333.0	52.36	37.0	0.45
Tomasz Kalembka	Grupa Azoty ZAKSA Kêdzierzyn-KoŸle	œrodkowy	20.0	4.0	25.0	1.0	7.0	0.05	3.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	33.33	2.0	0.1
Lukas Kampa	Trefl Gdañsk	rozgrywaj¹cy	78.0	50.0	268.0	23.0	48.0	0.29	3.0	0.0	3.0	0.0	0.0	27.0	5.0	0.0	13.0	48.15	14.0	0.18
Marcin Kania	GKS Katowice	œrodkowy	85.0	157.0	269.0	7.0	17.0	0.08	16.0	1.0	4.0	3.0	18.75	221.0	13.0	11.0	117.0	52.94	33.0	0.39
Remigiusz Kapica	Cuprum Lubin	atakuj¹cy	88.0	364.0	306.0	30.0	92.0	0.34	30.0	7.0	10.0	2.0	6.67	644.0	47.0	86.0	321.0	49.84	13.0	0.15
